Tahun,Kota,Jenis_Kelamin,Jumlah
2010,Sidoarjo,Perempuan,70.76
2011,Sidoarjo,Perempuan,74.74
2012,Sidoarjo,Perempuan,74.67
2013,Sidoarjo,Perempuan,70.79
2014,Sidoarjo,Perempuan,74.71
2015,Sidoarjo,Perempuan,74.94
2016,Sidoarjo,Perempuan,71.78
2018,Sidoarjo,Perempuan,75.66
2019,Sidoarjo,Perempuan,72.12
2020,Sidoarjo,Perempuan,75.79
2021,Sidoarjo,Perempuan,75.83
2022,Sidoarjo,Perempuan,72.93
2023,Sidoarjo,Perempuan,76.16
2024,Sidoarjo,Perempuan,76.78
